filename,material_id,formula,is_ordered,conventional_num_sites,conventional_effective_atoms,primitive_num_sites,primitive_effective_atoms,parse_status,error,Ionic conductivity (S cm-1),has_fractional_occupancy,fractional_occupancy_row_count,disordered_asymmetric_site_count,disordered_position_multiplicity_sum,disordered_element_count,disordered_elements,mixed_site_count_sum_1,vacancy_site_count,overoccupied_site_count,disordered_site_details,ordering_batch_status,ordered_candidate_count,geometry_valid_candidate_count,selected_ordered_file,selected_ordered_formula,selected_ordered_num_atoms,ordering_supercell_multiplier,ordering_composition_max_drift,ordering_split_pair_count,ordering_split_cluster_count,geometry_min_distance_angstrom,geometry_min_distance_pair,geometry_min_radius_ratio,geometry_min_radius_pair,geometry_min_li_li_distance_angstrom,geometry_issues,geometry_error_candidate_count,best_error_file,ordering_result_summary
7w5.cif,7w5,Li54 La24 Zr14 Ta2 O96,False,256,190,128,95,ok,,0.00087,True,4,3,136,3,Li;Ta;Zr,1,2,0,Li@0.475[m=96];Li@0.35[m=24];Ta@0.125+Zr@0.875[m=16],manual_review,5,0,,Li27 La12 Zr7 Ta1 O48,95,1,0.0,0,0,1.24316465,Li-Li,0.48561119,Li-Li,1.24316465,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/7w5_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
824.cif,824,Li20.74 Ge2.7 P3.3 S24,False,62,50.74,62,50.74,ok,,0.0144,True,5,4,32,3,Ge;Li;P,1,3,0,Li@0.4738[m=16];Li@0.7595[m=8];Li@0.7708[m=4];Ge@0.675+P@0.325[m=4],manual_review,5,0,,Li41 Ge5 P7 S48,101,2,0.004166861702298394,0,0,1.31319366,Li-Li,0.51296627,Li-Li,1.31319366,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/824_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
883.cif,883,Li4 Al4 H16,True,24,24,24,24,ok,,8.7e-09,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/883_ordered.cif,Li4 Al4 H16,24,,0.0,0,0,1.49698087,Al-H,0.98485584,Al-H,3.20633726,,0,,原始 CIF 已完全有序，并通过几何检查
8fn.cif,8fn,Li8.676 Al2.652 Ge9.348 P18 O72,False,144,110.676,48,36.892,ok,,0.000137,True,4,3,54,3,Al;Ge;Li,1,2,0,Li@0.45[m=6];Li@0.166[m=36];Al@0.221+Ge@0.779[m=12],geometry_ok,5,5,OBELIX/ordered_cifs/8fn_ordered.cif,Li3 Al1 Ge3 P6 O24,37,1,0.0,0,0,1.40139484,O-P,0.81005482,O-P,2.92607150,,0,,成功有序化（5/5 个候选通过几何检查）
8ub.cif,8ub,Li20.84 Si2.4 Sn0.6 P3 S24,False,62,50.84,62,50.84,ok,,0.00879,True,6,4,32,4,Li;P;Si;Sn,1,3,0,Li@0.51[m=16];Li@0.75[m=8];Li@0.67[m=4];P@0.25+Si@0.6+Sn@0.15[m=4],manual_review,5,0,,Li41 Si5 Sn1 P6 S48,101,2,0.003972859913843496,0,0,1.59772285,Li-Li,0.62411049,Li-Li,1.59772285,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/8ub_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
95j.cif,95j,Li18 Al6 H36,True,60,60,20,20,ok,,1.4e-07,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/95j_ordered.cif,Li6 Al2 H12,20,,0.0,0,0,1.66993693,Al-H,1.09864272,Al-H,2.95882422,,0,,原始 CIF 已完全有序，并通过几何检查
96f.cif,96f,Li24.024 P4 Se2.4 S17.6 Br4,False,100,52.024,25,13.006,ok,,0.00278,True,6,4,92,3,Li;S;Se,2,2,0,Li@0.441[m=48];Li@0.119[m=24];S@0.56876+Se@0.43124[m=4];S@0.95781+Se@0.04219[m=16],geometry_ok,5,5,OBELIX/ordered_cifs/96f_ordered.cif,Li30 P5 Se3 S22 Br5,65,5,0.0,0,6,2.21097503,Li-S,0.89152219,Li-Se,2.52471430,,0,,成功有序化（5/5 个候选通过几何检查）
97b.cif,97b,Li3.6 Zr0.4 Sc3.6 O8,False,16,15.6,8,7.8,ok,,<1E-10,True,3,2,8,3,Li;Sc;Zr,1,1,0,Li@0.9[m=4];Sc@0.9+Zr@0.1[m=4],geometry_ok,5,5,OBELIX/ordered_cifs/97b_ordered.cif,Li7 Zr1 Sc7 O16,31,4,0.006617038875103388,0,0,2.03654018,O-Sc,0.84503742,O-Zr,3.14854135,,0,,成功有序化（5/5 个候选通过几何检查）
97p.cif,97p,Li24.0 P4 S20 Cl4,False,124,52,31,13,ok,,3.3e-05,True,6,4,104,3,Cl;Li;S,2,2,0,Li@0.419[m=48];Li@0.081[m=48];Cl@0.438+S@0.562[m=4];Cl@0.562+S@0.438[m=4],manual_review,5,0,,Li30 P5 S25 Cl5,65,5,0.0,0,0,1.45043660,Li-Li,0.56657680,Li-Li,1.45043660,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/97p_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
9ky.cif,9ky,Li6 Ti3.6 Sn8.4 P18 O72,False,108,108,36,36,ok,,9.42e-06,True,2,1,12,2,Sn;Ti,1,0,0,Sn@0.7+Ti@0.3[m=12],geometry_ok,1,1,OBELIX/ordered_cifs/9ky_ordered.cif,Li2 Ti1 Sn3 P6 O24,36,1,0.005555555555555557,0,0,1.36145884,O-P,0.78697043,O-P,6.10167784,,0,,成功有序化（1/1 个候选通过几何检查）
9lo.cif,9lo,Li12 P4 O16,True,32,32,32,32,ok,,1.75e-13,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/9lo_ordered.cif,Li12 P4 O16,32,,0.0,0,0,1.47558933,O-P,0.85294181,O-P,2.64197769,,0,,原始 CIF 已完全有序，并通过几何检查
9lx.cif,9lx,Li20 Sn2 P4 S24,False,70,50,70,50,ok,,0.007,True,5,4,40,3,Li;P;Sn,1,3,0,Li@0.3[m=16];Li@0.5[m=16];Li@0.8[m=4];P@0.5+Sn@0.5[m=4],manual_review,5,0,,Li20 Sn2 P4 S24,50,1,0.0,0,0,1.75911250,Li-Li,0.68715332,Li-Li,1.75911250,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/9lx_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
9n0.cif,9n0,Na0.2 Li0.3 La0.5 Nb2 O6,False,9,9,9,9,ok,,1.11e-05,True,3,1,1,3,La;Li;Na,1,0,0,La@0.5+Li@0.3+Na@0.2[m=1],geometry_ok,2,2,OBELIX/ordered_cifs/9n0_ordered.cif,Na1 Li1 La2 Nb8 O24,36,4,0.005555555555555557,0,0,1.94819427,Nb-O,0.84704099,Nb-O,,,0,,成功有序化（2/2 个候选通过几何检查）
9o6.cif,9o6,Li46.752 La24 Zr13.9424 Mo2.0576 O96,False,256,182.752,128,91.376,ok,,0.000333,True,4,3,136,3,Li;Mo;Zr,1,2,0,Li@0.362[m=96];Li@0.5[m=24];Mo@0.1286+Zr@0.8714[m=16],manual_review,5,0,,Li23 La12 Zr7 Mo1 O48,91,1,0.003074844958928291,0,0,1.64687584,Li-Li,0.64331088,Li-Li,1.64687584,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/9o6_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
9ph.cif,9ph,Li1.52 La5.332 Ti7.2 Co0.8 O24,False,40,38.852,10,9.713,ok,,0.000108,True,6,3,16,4,Co;La;Li;Ti,1,2,0,La@0.571+Li@0.19[m=4];La@0.762+Li@0.19[m=4];Co@0.1+Ti@0.9[m=8],geometry_ok,5,5,OBELIX/ordered_cifs/9ph_ordered.cif,Li2 La7 Ti9 Co1 O30,49,5,0.004594186226068775,0,0,1.94305000,Co-O,0.85975664,O-Ti,6.73092264,,0,,成功有序化（5/5 个候选通过几何检查）
9rc.cif,9rc,Li20 Sn0.448 Ge1.552 P4 S24,False,66,50,66,50,ok,,0.0141,True,7,5,40,4,Ge;Li;P;Sn,1,4,0,Li@0.68[m=4];Li@0.5[m=16];Li@0.54[m=8];Li@0.62[m=8];Ge@0.388+P@0.5+Sn@0.112[m=4],manual_review,5,0,,Li59 Sn1 Ge5 P12 S72,149,3,0.004026845637583931,4,0,1.36301329,Li-Li,0.53242707,Li-Li,1.36301329,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/9rc_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
9s4.cif,9s4,Li7.8 Ti10.2 Al1.8 P18 O72,False,144,109.8,48,36.6,ok,,0.000722,True,3,2,48,3,Al;Li;Ti,1,1,0,Li@0.05[m=36];Al@0.15+Ti@0.85[m=12],geometry_ok,5,5,OBELIX/ordered_cifs/9s4_ordered.cif,Li5 Ti7 Al1 P12 O48,73,2,0.00299423609551612,0,0,1.45624821,O-P,0.84176197,O-P,2.96391485,,0,,成功有序化（5/5 个候选通过几何检查）
9wf.cif,9wf,Li12 Er4 I24,False,44,40,22,20,ok,,0.00065,True,6,4,20,2,Er;Li,2,2,0,Li@0.8[m=4];Li@0.2[m=4];Er@0.16+Li@0.84[m=8];Er@0.68+Li@0.32[m=4],geometry_ok,5,5,OBELIX/ordered_cifs/9wf_ordered.cif,Li18 Er6 I36,60,3,0.0,0,0,2.77407412,I-Li,0.87433302,Er-I,3.89248166,,0,,成功有序化（5/5 个候选通过几何检查）
9yt.cif,9yt,Li45.888 P4 S20 Br3.0 Cl1,False,148,73.888,37,18.472,ok,,0.00186,True,8,4,128,4,Br;Cl;Li;S,2,2,0,Li@0.456[m=96];Li@0.088[m=24];Br@0.156+Cl@0.14+S@0.704[m=4];Br@0.594+Cl@0.11+S@0.296[m=4],manual_review,5,0,,Li88 P7 S35 Br5 Cl2,137,7,0.021287693664587715,12,0,0.33077798,Li-Li,0.12921015,Li-Li,0.33077798,distance<0.8;radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/9yt_ordered.cif,未通过几何检查（0/5 个候选通过；原因：distance<0.8;radius_ratio<0.75;Li-Li<1.8）
9zk.cif,9zk,Li40 Ga8 O32,True,80,80,80,80,ok,,5e-09,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/9zk_ordered.cif,Li40 Ga8 O32,80,,0.0,0,0,1.64722460,Ga-O,0.87618330,Ga-O,2.28389716,,0,,原始 CIF 已完全有序，并通过几何检查
9zr.cif,9zr,Li24 P4 S20 Br4,False,100,52,25,13,ok,,0.000701,True,6,4,80,3,Br;Li;S,2,2,0,Li@0.44[m=48];Li@0.12[m=24];Br@0.22+S@0.78[m=4];Br@0.78+S@0.22[m=4],geometry_ok,5,5,OBELIX/ordered_cifs/9zr_ordered.cif,Li24 P4 S20 Br4,52,4,0.0,0,6,1.91147940,P-S,0.85608949,Li-Li,2.19158909,,0,,成功有序化（5/5 个候选通过几何检查）
a8v.cif,a8v,Li24.09984 Si0.1 P3.9 S20 Br4,False,100,52.09984,25,13.02496,ok,,0.000878,True,8,5,84,5,Br;Li;P;S;Si,3,2,0,Li@0.44104[m=48];Li@0.12208[m=24];P@0.975+Si@0.025[m=4];Br@0.2+S@0.8[m=4];Br@0.8+S@0.2[m=4],geometry_ok,5,5,OBELIX/ordered_cifs/a8v_ordered.cif,Li60 Si1 P9 S50 Br10,130,10,0.005772916001277547,0,6,2.03815365,P-S,0.94358965,S-Si,2.59988176,,0,,成功有序化（5/5 个候选通过几何检查）
aab.cif,aab,Li16 Sn3.3 Ge0.7 Se16,False,40,36,40,36,ok,,8.3e-07,True,3,2,12,3,Ge;Li;Sn,1,1,0,Li@0.5[m=8];Ge@0.175+Sn@0.825[m=4],geometry_ok,1,1,OBELIX/ordered_cifs/aab_ordered.cif,Li32 Sn7 Ge1 Se32,72,2,0.005555555555555564,4,0,2.45897204,Se-Sn,0.94941005,Se-Sn,2.79604177,,0,,成功有序化（1/1 个候选通过几何检查）
an2.cif,an2,Li24 Si4 Cl8 O16,True,52,52,52,52,ok,,1e-10,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/an2_ordered.cif,Li24 Si4 Cl8 O16,52,,0.0,0,0,1.63638463,O-Si,0.92451109,O-Si,2.60755970,,0,,原始 CIF 已完全有序，并通过几何检查
ar1.cif,ar1,Li16.008 Sn4 Se4.344 S11.656,False,48,36.008,48,36.008,ok,,7.5e-05,True,10,7,36,3,Li;S;Se,3,4,0,Li@0.569[m=4];Li@0.251[m=8];Li@0.431[m=4];Li@0.5[m=4];S@0.664+Se@0.336[m=8];S@0.786+Se@0.214[m=4];S@0.8+Se@0.2[m=4],manual_review,5,0,,Li48 Sn12 Se13 S35,108,3,0.0,0,0,1.33945082,Li-Li,0.52322297,Li-Li,1.33945082,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/ar1_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
ard.cif,ard,Li8.0 Ta16 P8 O64,False,108,96,54,48,ok,,0.0016,True,3,3,20,1,Li,0,3,0,Li@0.21[m=8];Li@0.14[m=4];Li@0.72[m=8],manual_review,5,0,,Li13 Ta24 P12 O96,145,3,0.00632183908045976,0,0,1.44665145,O-P,0.64809085,Li-Ta,1.85036908,radius_ratio<0.75,5,OBELIX/ordered_cifs/erro/ard_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75）
aui.cif,aui,Li8.0 Co4 Ge12 O32,False,56,56,56,56,ok,,<1E-10,True,4,2,12,2,Co;Li,2,0,0,Co@0.1+Li@0.9[m=4];Co@0.45+Li@0.55[m=8],geometry_ok,5,5,OBELIX/ordered_cifs/aui_ordered.cif,Li16 Co8 Ge24 O64,112,2,0.0,0,0,1.62866262,Ge-O,0.87562506,Ge-O,3.20304085,,0,,成功有序化（5/5 个候选通过几何检查）
b4c.cif,b4c,Si2 S8,True,10,10,10,10,ok,,1.59e-08,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/b4c_ordered.cif,Si2 S8,10,,0.0,0,0,2.11676450,S-Si,0.97998356,S-Si,,,0,,原始 CIF 已完全有序，并通过几何检查
b56.cif,b56,Li8.004 Mg7.996 Mo12 O48,False,76,76,76,76,ok,,<1E-10,True,6,3,16,2,Li;Mg,3,0,0,Li@0.79+Mg@0.21[m=4];Li@0.529+Mg@0.471[m=4];Li@0.341+Mg@0.659[m=8],manual_review,5,0,,Li8 Mg8 Mo12 O48,76,1,0.0,0,0,1.57304552,Mo-O,0.71502069,Mo-O,3.06685120,radius_ratio<0.75,5,OBELIX/ordered_cifs/erro/b56_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75）
be9.cif,be9,Li4 Ga4 Br16,True,24,24,24,24,ok,,7e-06,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/be9_ordered.cif,Li4 Ga4 Br16,24,,0.0,0,0,2.05061554,Br-Ga,0.84736179,Br-Ga,4.49750929,,0,,原始 CIF 已完全有序，并通过几何检查
bi3.cif,bi3,Sr7.992 Li47.9568 La16.008 Sb16 O96,False,256,183.9568,128,91.9784,ok,,6.3e-06,True,4,3,144,3,La;Li;Sr,1,2,0,Li@0.3013[m=96];Li@0.793[m=24];La@0.667+Sr@0.333[m=24],manual_review,5,0,,Sr4 Li24 La8 Sb8 O48,92,1,0.0,0,0,1.27495614,Li-O,0.65719388,Li-O,1.73589946,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/bi3_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
bjw.cif,bjw,Li16 Mn8 Cl32,False,56,56,14,14,ok,,4.79e-06,True,2,1,16,2,Li;Mn,1,0,0,Li@0.5+Mn@0.5[m=16],geometry_ok,1,1,OBELIX/ordered_cifs/bjw_ordered.cif,Li4 Mn2 Cl8,14,1,0.0,0,0,2.27798991,Cl-Li,0.99043039,Cl-Li,3.71326519,,0,,成功有序化（1/1 个候选通过几何检查）
bnh.cif,bnh,Li24.40008 Si0.4 P3.6 S20 Br4,False,100,52.40008,25,13.10002,ok,,0.000799,True,8,5,84,5,Br;Li;P;S;Si,3,2,0,Li@0.44417[m=48];Li@0.12833[m=24];P@0.9+Si@0.1[m=4];Br@0.21+S@0.79[m=4];Br@0.79+S@0.21[m=4],geometry_ok,5,5,OBELIX/ordered_cifs/bnh_ordered.cif,Li48 Si1 P7 S40 Br8,104,8,0.0029365780181428436,0,6,2.04035941,P-S,0.94156661,Br-Li,2.43748908,,0,,成功有序化（5/5 个候选通过几何检查）
bnu.cif,bnu,Li18 Al9 Ga9 Ge18 O72,False,126,126,42,42,ok,,<1E-10,True,4,2,18,2,Al;Ga,2,0,0,Al@0.5+Ga@0.5[m=9];Al@0.5+Ga@0.5[m=9],manual_review,5,0,,Li12 Al6 Ga6 Ge12 O48,84,2,0.0,0,0,1.37021556,Al-O,0.72883811,Ga-O,3.80274332,radius_ratio<0.75,5,OBELIX/ordered_cifs/erro/bnu_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75）
bq9.cif,bq9,Li24 Bi8 O24,True,56,56,56,56,ok,,2.4e-10,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/bq9_ordered.cif,Li24 Bi8 O24,56,,0.0,0,0,1.68239007,Li-O,0.83573047,Li-Li,2.13947000,,0,,原始 CIF 已完全有序，并通过几何检查
br1.cif,br1,Li48 Al16 N32,True,96,96,48,48,ok,,5e-08,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/br1_ordered.cif,Li24 Al8 N16,48,,0.0,0,0,1.79791284,Al-N,0.80448998,Li-Li,2.05949436,,0,,原始 CIF 已完全有序，并通过几何检查
bsa.cif,bsa,Li4 Ga4 O8,True,16,16,16,16,ok,,2.4e-14,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/bsa_ordered.cif,Li4 Ga4 O8,16,,0.0,0,0,1.69762849,Ga-O,0.90299388,Ga-O,3.02374281,,0,,原始 CIF 已完全有序，并通过几何检查
bv2.cif,bv2,Li4 Y4 O8,True,16,16,16,16,ok,,1.8e-08,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/bv2_ordered.cif,Li4 Y4 O8,16,,0.0,0,0,1.94170522,Li-O,0.84651545,O-Y,3.36544182,,0,,原始 CIF 已完全有序，并通过几何检查
c0g.cif,c0g,Li44.136 La24 Sm2 Ta14 O96,False,304,180.136,152,90.068,ok,,5.17e-06,True,5,4,184,3,Li;Sm;Ta,1,3,0,Li@0.182[m=96];Li@0.215[m=48];Li@0.681[m=24];Sm@0.125+Ta@0.875[m=16],manual_review,5,0,,Li22 La12 Sm1 Ta7 O48,90,1,0.0,0,0,1.18859432,Li-Li,0.46429466,Li-Li,1.18859432,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/c0g_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
c6e.cif,c6e,Li24.024 P4 Se3.2 S16.8 Br4,False,100,52.024,25,13.006,ok,,0.00348,True,6,4,92,3,Li;S;Se,2,2,0,Li@0.441[m=48];Li@0.119[m=24];S@0.51808+Se@0.48192[m=4];S@0.92048+Se@0.07952[m=16],geometry_ok,5,5,OBELIX/ordered_cifs/c6e_ordered.cif,Li12 P2 Se2 S8 Br2,26,2,0.015356226120488765,0,6,2.09360258,P-S,0.92229191,P-Se,2.51647200,,0,,成功有序化（5/5 个候选通过几何检查）
cdk.cif,cdk,Li8 P4 N4 O8,True,24,24,12,12,ok,,<1E-10,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/cdk_ordered.cif,Li4 P2 N2 O4,12,,0.0,0,0,1.48872233,O-P,0.86053314,O-P,2.69701854,,0,,原始 CIF 已完全有序，并通过几何检查
cfy.cif,cfy,Li4 P4 S12,True,20,20,10,10,ok,,7.8e-11,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/cfy_ordered.cif,Li2 P2 S6,10,,0.0,0,0,1.95911917,P-S,0.92411282,P-S,3.37318906,,0,,原始 CIF 已完全有序，并通过几何检查
cju.cif,cju,Li24.024 P4 Se1.596 S18.404 Br4,False,100,52.024,25,13.006,ok,,0.00364,True,6,4,92,3,Li;S;Se,2,2,0,Li@0.441[m=48];Li@0.119[m=24];S@0.729+Se@0.271[m=4];S@0.968+Se@0.032[m=16],geometry_ok,5,5,OBELIX/ordered_cifs/cju_ordered.cif,Li24 P4 Se2 S18 Br4,52,4,0.007605957013922582,0,6,1.98078747,P-S,0.82919573,Li-Li,2.12274108,,0,,成功有序化（5/5 个候选通过几何检查）
ckw.cif,ckw,Sr3.728 Li4 Nb8 O96 F32,False,144,143.728,36,35.932,ok,,<1E-10,True,2,1,8,2,Li;Sr,0,1,0,Li@0.5+Sr@0.466[m=8],manual_review,1,0,,Sr1 Li1 Nb2 O24 F8,36,1,0.00010513686345814399,0,0,0.63679763,F-O,0.51772165,F-O,,distance<0.8;radius_ratio<0.75;O-F<1.2,1,OBELIX/ordered_cifs/erro/ckw_ordered.cif,未通过几何检查（0/1 个候选通过；原因：distance<0.8;radius_ratio<0.75;O-F<1.2）
clt.cif,clt,Li6 Cu1 B4 O10,True,21,21,21,21,ok,,1e-13,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/clt_ordered.cif,Li6 Cu1 B4 O10,21,,0.0,0,0,1.33424964,B-O,0.88949976,B-O,2.38321660,,0,,原始 CIF 已完全有序，并通过几何检查
cti.cif,cti,Li43.23168 La24 Y1.6 Nb14.4 O96,False,304,179.23168,152,89.61584,ok,,6.74e-05,True,5,4,184,3,Li;Nb;Y,1,3,0,Li@0.18033[m=96];Li@0.139[m=48];Li@0.802[m=24];Nb@0.9+Y@0.1[m=16],manual_review,5,0,,Li22 La12 Y1 Nb7 O48,90,1,0.0032388718581696507,0,0,0.85692429,Li-Li,0.33473605,Li-Li,0.85692429,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/cti_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
cy2.cif,cy2,La1.28 Ti2 O6,False,10,9.28,10,9.28,ok,,0.000335,True,2,2,2,1,La,0,2,0,La@0.96[m=1];La@0.32[m=1],geometry_ok,1,1,OBELIX/ordered_cifs/cy2_ordered.cif,La4 Ti6 O18,28,3,0.0049261083743842304,0,0,1.83403633,O-Ti,0.81152050,O-Ti,,,0,,成功有序化（1/1 个候选通过几何检查）
cz2.cif,cz2,Li16 Sn4 Se12.428 S3.572,False,40,36,40,36,ok,,9.5e-07,True,7,4,24,3,Li;S;Se,3,1,0,Li@0.5[m=8];S@0.196+Se@0.804[m=8];S@0.197+Se@0.803[m=4];S@0.304+Se@0.696[m=4],geometry_ok,5,5,OBELIX/ordered_cifs/cz2_ordered.cif,Li48 Sn12 Se37 S11,108,3,0.0,4,0,2.47620676,Li-Se,0.95812052,Se-Sn,2.77769151,,0,,成功有序化（5/5 个候选通过几何检查）
d7f.cif,d7f,Li12 Bi4 O16,True,32,32,32,32,ok,,4.1e-10,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/d7f_ordered.cif,Li12 Bi4 O16,32,,0.0,0,0,2.01315838,Li-O,0.98843331,Bi-O,2.92462588,,0,,原始 CIF 已完全有序，并通过几何检查
d9l.cif,d9l,Li24.024 P4 Se2.0 S18 Br4,False,100,52.024,25,13.006,ok,,0.00268,True,6,4,92,3,Li;S;Se,2,2,0,Li@0.441[m=48];Li@0.119[m=24];S@0.63568+Se@0.36432[m=4];S@0.96608+Se@0.03392[m=16],geometry_ok,5,5,OBELIX/ordered_cifs/d9l_ordered.cif,Li18 P3 Se1 S14 Br3,39,3,0.012802769530433689,0,6,1.85467025,P-S,0.87484446,P-S,2.41859239,,0,,成功有序化（5/5 个候选通过几何检查）
dae.cif,dae,Li48.6 La24 Sm4.4 Ta11.6 O96,False,304,184.6,152,92.3,ok,,1.4e-05,True,5,4,184,3,Li;Sm;Ta,1,3,0,Li@0.224[m=96];Li@0.229[m=48];Li@0.671[m=24];Sm@0.275+Ta@0.725[m=16],manual_review,5,0,,Li24 La12 Sm2 Ta6 O48,92,1,0.0024023741108858965,0,0,0.62528680,Li-Li,0.24425266,Li-Li,0.62528680,distance<0.8;radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/dae_ordered.cif,未通过几何检查（0/5 个候选通过；原因：distance<0.8;radius_ratio<0.75;Li-Li<1.8）
dc8.cif,dc8,Li18 Mg6 P8 O32 F6,True,70,70,70,70,ok,,<1E-10,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/dc8_ordered.cif,Li18 Mg6 P8 O32 F6,70,,0.0,0,0,1.52460691,O-P,0.88127567,O-P,2.87771616,,0,,原始 CIF 已完全有序，并通过几何检查
de5.cif,de5,Li6 In2.03 Cl12,False,24,20.03,12,10.015,ok,,0.00204,True,2,2,6,1,In,0,2,0,In@0.07[m=4];In@0.875[m=2],geometry_ok,5,5,OBELIX/ordered_cifs/de5_ordered.cif,Li18 In6 Cl36,60,6,0.0,0,0,2.47296884,Cl-In,1.01351182,Cl-In,3.68190758,,0,,成功有序化（5/5 个候选通过几何检查）
deu.cif,deu,Li8.694 Al0.81 Ge1.19 S8,False,28,18.694,28,18.694,ok,,4.3e-05,True,5,4,20,3,Al;Ge;Li,1,3,0,Li@0.461[m=6];Li@0.767[m=6];Li@0.221[m=6];Al@0.405+Ge@0.595[m=2],geometry_ok,5,5,OBELIX/ordered_cifs/deu_ordered.cif,Li36 Al3 Ge5 S32,76,4,0.002583003858571631,9,0,2.21922465,Al-S,0.94517606,Li-Li,2.41965072,,0,,成功有序化（5/5 个候选通过几何检查）
dl7.cif,dl7,Li8.0 Mg4 Ti12 O32,False,56,56,56,56,ok,,<1E-10,True,4,2,12,2,Li;Mg,2,0,0,Li@0.9+Mg@0.1[m=4];Li@0.55+Mg@0.45[m=8],geometry_ok,5,5,OBELIX/ordered_cifs/dl7_ordered.cif,Li16 Mg8 Ti24 O64,112,2,0.0,0,0,1.86828426,Li-O,0.82719373,O-Ti,3.49464037,,0,,成功有序化（5/5 个候选通过几何检查）
dlj.cif,dlj,Li24.024 P4 Se4.0 S14.61936 Br4,False,100,50.64336,25,12.66084,ok,,0.00361,True,5,4,92,3,Li;S;Se,1,3,0,Li@0.441[m=48];Li@0.119[m=24];Se@0.65484[m=4];S@0.91371+Se@0.08629[m=16],geometry_ok,5,5,OBELIX/ordered_cifs/dlj_ordered.cif,Li18 P3 Se3 S11 Br3,38,3,0.0,0,6,2.13510678,Li-S,0.91635484,Li-S,2.42743780,,0,,成功有序化（5/5 个候选通过几何检查）
